domain,domain_display_name,model,model_display_name,metric,n_species,mean_delta,median_delta,improved_%
camera_trap,Camera-trap refits,clip_visdiff,Camera-trap VisDiff refit,biolith_ap_test,16,0.0,0.0,0.0
camera_trap,Camera-trap refits,clip_visdiff,Camera-trap VisDiff refit,biolith_roc_auc_test,16,0.0,0.0,0.0
camera_trap,Camera-trap refits,clip_visdiff,Camera-trap VisDiff refit,lppd_test_norm,16,0.0,0.0,0.0
camera_trap,Camera-trap refits,clip_visdiff,Camera-trap VisDiff refit,lr_map_test,16,0.0,0.0,0.0
camera_trap,Camera-trap refits,clip_visdiff,Camera-trap VisDiff refit,lr_mcc_test,16,0.0,0.0,0.0
camera_trap,Camera-trap refits,clip_expert,Camera-trap expert refit,biolith_ap_test,16,0.0,0.0,0.0
camera_trap,Camera-trap refits,clip_expert,Camera-trap expert refit,biolith_roc_auc_test,16,0.0,0.0,0.0
camera_trap,Camera-trap refits,clip_expert,Camera-trap expert refit,lppd_test_norm,16,0.0,0.0,0.0
camera_trap,Camera-trap refits,clip_expert,Camera-trap expert refit,lr_map_test,16,0.0,0.0,0.0
camera_trap,Camera-trap refits,clip_expert,Camera-trap expert refit,lr_mcc_test,16,0.0,0.0,0.0
satellite,Satellite refits,graft_visdiff_naip,GRAFT NAIP refit,biolith_ap_test,16,0.0,0.0,0.0
satellite,Satellite refits,graft_visdiff_naip,GRAFT NAIP refit,biolith_roc_auc_test,16,0.0,0.0,0.0
satellite,Satellite refits,graft_visdiff_naip,GRAFT NAIP refit,lppd_test_norm,16,0.0,0.0,0.0
satellite,Satellite refits,graft_visdiff_naip,GRAFT NAIP refit,lr_map_test,16,0.0,0.0,0.0
satellite,Satellite refits,graft_visdiff_naip,GRAFT NAIP refit,lr_mcc_test,16,0.0,0.0,0.0
satellite,Satellite refits,graft_visdiff_sentinel,GRAFT Sentinel refit,biolith_ap_test,16,0.0,0.0,0.0
satellite,Satellite refits,graft_visdiff_sentinel,GRAFT Sentinel refit,biolith_roc_auc_test,16,0.0,0.0,0.0
satellite,Satellite refits,graft_visdiff_sentinel,GRAFT Sentinel refit,lppd_test_norm,16,0.0,0.0,0.0
satellite,Satellite refits,graft_visdiff_sentinel,GRAFT Sentinel refit,lr_map_test,16,0.0,0.0,0.0
satellite,Satellite refits,graft_visdiff_sentinel,GRAFT Sentinel refit,lr_mcc_test,16,0.0,0.0,0.0
